run_id,method,lr,seed,best_hard_acc,reached_100,stable
bxsp0sc8,pre,0.0001,0,100.0,1,1
ntk3eeqc,peri,0.0003,0,100.0,1,1
teqa8rmv,peri,0.001,0,0.0,0,1
ynule3rf,peri,0.0001,0,100.0,1,1
yj9lzaxh,pre,0.0003,0,100.0,1,1
zbmcjy0j,pre,0.001,0,0.0,0,1
gvfg5o2z,gru (peri),0.0001,0,100.0,1,1
u27is78y,gru (peri),0.0003,0,100.0,1,1
k9bmtf9u,gru (peri),0.001,0,100.0,1,0
qci5v7wl,post,0.0001,0,100.0,1,1
b0trx5bz,post,0.0003,0,100.0,1,1
e7fquai4,post,0.001,0,99.12000274658203,0,0
ii0sg0tf,peri,0.0001,1,100.0,1,1
oxfd5djv,peri,0.0003,1,100.0,1,1
6aubq02c,peri,0.001,1,0.0,0,1
79nkjcpz,pre,0.0001,1,100.0,1,1
t7vt2dwn,pre,0.0003,1,100.0,1,1
euv7yoq5,pre,0.001,1,97.08000183105469,0,0
hzg1i1tp,gru (peri),0.0001,1,100.0,1,1
xfpatuz9,gru (peri),0.0003,1,100.0,1,1
vopbrjt5,gru (peri),0.001,1,0.0,0,1
ia6ha0a9,pre,0.001,2,100.0,1,1
44tfxpwi,post,0.0003,1,0.0,0,1
fwngwheb,post,0.001,1,0.0,0,1
rzdnkp9u,post,0.0001,1,100.0,1,1
stu11ta5,peri,0.0001,2,100.0,1,1
5d78ufrt,peri,0.001,2,100.0,1,0
fr5zr9g8,peri,0.0003,2,100.0,1,0
zstssgak,pre,0.0001,2,100.0,1,1
scyzuysp,pre,0.0003,2,100.0,1,1
rm4xbuxt,gru (peri),0.0001,2,100.0,1,1
bolq0oz1,gru (peri),0.0003,2,100.0,1,1
yk6csd62,gru (peri),0.001,2,0.0,0,1
xicv92gz,post,0.0001,2,0.0,0,1
3kumvf2n,post,0.0003,2,0.0,0,1
l86n9sb1,post,0.001,2,100.0,1,1
yq2n5ozy,peri,0.0001,3,100.0,1,1
0czngztj,peri,0.0003,3,100.0,1,1
4gv9dqki,peri,0.001,3,100.0,1,0
pi7itq9l,pre,0.0001,3,100.0,1,1
zdio1tz1,pre,0.0003,3,100.0,1,1
ja1uxvgw,pre,0.001,3,100.0,1,0
znw8jdz1,gru (peri),0.0001,3,100.0,1,1
1cheyf9x,gru (peri),0.0003,3,100.0,1,1
5tb5v4d3,gru (peri),0.001,3,100.0,1,1
xpqslkdb,post,0.0001,3,100.0,1,1
xqi64jxt,post,0.0003,3,100.0,1,1
9shlt9f4,post,0.001,3,0.0,0,1
